"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","component_type","example","classification"
"10000000002000000000000000000",25,1.3,"m.tree_main_lemma_bst.1.pre.pred_inst.40",64,10929226,"gradual",7803378,249.6,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"400008040000000000000000000000000",16,2,"m.tree_main_lemma_bst.2.post.pred_inst.41",64,11337566,"gradual",7616581,204.7,"tree_main_lemma_bst","post","pred_inst","bst","max"
"8408000000000000000000000800000",28,2.6,"m.tree_main_lemma_bst.2.post.pred_inst.41",64,10719264,"gradual",7585297,242,"tree_main_lemma_bst","post","pred_inst","bst","max"
"10008000000020400002000000010000",6,3.9,"m.tree_main_lemma_bst.2.post.pred_inst.41",64,10915590,"gradual",7741288,243.9,"tree_main_lemma_bst","post","pred_inst","bst","max"
"9808300000080020090002000402",3,8.5,"m.tree_main_lemma_bst.2.post.pred_inst.41",64,11701491,"gradual",8458762,260.9,"tree_main_lemma_bst","post","pred_inst","bst","max"
"102100800010004014080000000000801100308",27,9.8,"m.tree_main_lemma_bst.1.pre.pred_inst.40",32,13739007,"gradual",12105136,740.9,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"102100800010004014080000000000801100308",27,9.8,"m.tree_main_lemma_bst.1.pre.pred_inst.40",64,104147891,"gradual",100843228,3051.5,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"918000004901020104200003008014ce00000",19,14.4,"m.tree_main_lemma_bst.2.post.pred_inst.41",64,15785540,"gradual",7726543,95.9,"tree_main_lemma_bst","post","pred_inst","bst","max"
"142180804010004014080000000280903100308",27,14.4,"m.tree_remove_lemma_left.2.post.pred_inst.107",64,123186098,"gradual",19369337,18.7,"tree_remove_lemma_left","post","pred_inst","bst","max"
"c0000c00098450048002014044a800e0000800",16,15.7,"m.tree_main_lemma_bst.1.pre.pred_inst.40",64,22890050,"gradual",7714430,50.8,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"42001031500092010c092a04008a490880050",7,19.6,"m.tree_main_lemma_bst.1.pre.pred_inst.40",64,13597353,"gradual",8210053,152.4,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"200840000340084095a400000aa4211101a142",21,19.6,"m.tree_main_lemma_bst.1.pre.pred_inst.40",64,13557416,"gradual",7648251,129.4,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"19204920208c0930c080100000402b41101000c",4,20.3,"m.tree_main_lemma_bst.2.post.pred_inst.41",64,12974402,"gradual",8002975,161,"tree_main_lemma_bst","post","pred_inst","bst","max"
"4082048820920280240040405013a012011c0c",10,20.3,"m.tree_main_lemma_bst.2.post.pred_inst.41",64,20951550,"gradual",13885246,196.5,"tree_main_lemma_bst","post","pred_inst","bst","max"
"80b04ce2c9000400d026205003808000216104",25,22.9,"p.bstRemove.6.pred.acc.150",64,24483371,"gradual",8589144,54,"bstRemove","pred","acc","bst","max"
"cc402c2009845044a002214064a800e0030a00",16,23.5,"p.bst.6.pred.pred_inst.136",64,30869998,"gradual",6941338,29,"bst","pred","pred_inst","bst","max"
"143b8280c210005014088200004690903110bc8",27,24.8,"m.tree_remove_lemma_left.1.pre.pred_inst.106",64,130883537,"gradual",5991261,4.8,"tree_remove_lemma_left","pre","pred_inst","bst","max"
"1681114018860f10a218108331620c10001c18",5,26.8,"m.tree_main_lemma_bst.2.post.pred_inst.41",64,15353840,"gradual",8698503,130.7,"tree_main_lemma_bst","post","pred_inst","bst","max"
"8800301248888535005b43c48101b980403004",12,26.8,"m.tree_main_lemma_bst.2.post.pred_inst.41",64,15902362,"gradual",8021125,101.8,"tree_main_lemma_bst","post","pred_inst","bst","max"
"1440192913898500e10260315000009355128",26,26.8,"m.tree_main_lemma_bst.1.pre.pred_inst.40",64,26604206,"gradual",14401406,118,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"604550803ec00598008103272c80812034544",24,27.5,"m.tree_main_lemma_bst.1.pre.pred_inst.40",64,25573666,"gradual",13352941,109.3,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"808040023cdd8c3808000c07240900c3eb0482",3,28.1,"p.bst.6.pred.pred_inst.136",64,25369144,"gradual",9682338,61.7,"bst","pred","pred_inst","bst","max"
