"id","path_id","level_id","component_added","stress","median","verification","diff","context_name","context_type","component_type"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",48,1926962,"gradual",1071031,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",64,2869694,"gradual",2130773,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",80,3578918,"gradual",2825830,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",96,4804707,"gradual",3987573,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",112,6253486,"gradual",5523108,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",128,7761609,"gradual",7021282,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",144,9465209,"gradual",8725632,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",160,11333310,"gradual",10598774,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",176,13445253,"gradual",12546563,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",192,15678267,"gradual",14892705,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",208,17932372,"gradual",17112251,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",224,20385665,"gradual",19645123,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",240,23100816,"gradual",22281860,"create_list","fold","pred_inst"
"8000000000",0,1,"m.create_list.3.fold.pred_inst.39",256,26326936,"gradual",25565583,"create_list","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",48,1904425,"gradual",1048494,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",64,2700999,"gradual",1962078,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",80,3531300,"gradual",2778212,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",96,4728549,"gradual",3911415,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",112,6079423,"gradual",5349045,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",128,7600141,"gradual",6859814,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",144,9302540,"gradual",8562963,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",160,11091476,"gradual",10356940,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",176,13063561,"gradual",12164871,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",192,15492732,"gradual",14707170,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",208,17844020,"gradual",17023899,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",224,20502906,"gradual",19762364,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",240,23268210,"gradual",22449254,"list_insert","fold","pred_inst"
"8000",1,1,"m.list_insert.3.fold.pred_inst.63",256,26430859,"gradual",25669506,"list_insert","fold","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",48,1984938,"gradual",1129007,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",64,2740847,"gradual",2001926,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",80,3608898,"gradual",2855810,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",96,4673277,"gradual",3856143,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",112,6115300,"gradual",5384922,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",128,7489013,"gradual",6748686,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",144,9282941,"gradual",8543364,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",160,11257228,"gradual",10522692,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",176,13276100,"gradual",12377410,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",192,15453733,"gradual",14668171,"appendLemmaLoopBody","pre","pred_inst"
"2000000000000000",2,1,"m.appendLemmaLoopBody.1.pre.pred_inst.17",208,17873749,"gradual",17053628,"appendLemmaLoopBody","pre","pred_inst"
