"id","path_id","level_id","component_added","stress","median","verification","diff"
"42001010400082010c0922040088010880050",7,22,"m.tree_min_helper.4.unfold.74",0,885909,"gradual",-2442555
"42001010400082010c0922040088010880050",7,22,"m.tree_min_helper.4.unfold.74",4,997813,"gradual",-2028343
"42001010400082010c0922040088010880050",7,22,"m.tree_min_helper.4.unfold.74",8,1016567,"gradual",-6987739
"42001010400082010c0922040088010880050",7,22,"m.tree_min_helper.4.unfold.74",12,1113757,"gradual",-6773538
"42001010400082010c0922040088010880050",7,22,"m.tree_min_helper.4.unfold.74",16,1178804,"gradual",-4107218
"13450121080180105a240042a880315a12902",6,37,"m.main.5.inv.12",44,12532694,"gradual",-10317529
"13450121080180105a240042a880315a12902",6,37,"m.main.5.inv.12",56,15565898,"gradual",-4020156
"13450121080180105a240042a880315a12902",6,37,"m.main.5.inv.12",60,20706176,"gradual",-2411448
"1681114018060f10a218108331620410001c18",5,39,"m.tree_remove_lemma_left.3.fold.111",52,4464317,"gradual",-1672376
"1681114018060f10a218108331620410001c18",5,39,"m.tree_remove_lemma_left.3.fold.111",56,5463554,"gradual",-2264301
"1681114018060f10a218108331620410001c18",5,39,"m.tree_remove_lemma_left.3.fold.111",60,5623527,"gradual",-1971260
"1681114018060f10a218108331620410001c18",5,39,"m.tree_remove_lemma_left.3.fold.111",64,6529038,"gradual",-2635330
"3745053b091982585a2488c3aa9879da32942",6,61,"m.tree_remove_lemma_right.3.fold.135",56,16089097,"gradual",-1677950
"3745053b091982585a2488c3aa9879da32942",6,61,"m.tree_remove_lemma_right.3.fold.135",60,20473050,"gradual",-2100374
"f904cb0e135821ccc863e81871b186a1f025a4",2,64,"m.tree_min_lemma.2.post.83",44,13104781,"gradual",-6913483
"86342dc397a00fa633c89fa0402ebe90ea02f5",7,69,"m.tree_main_lemma.3.fold.39",44,11808944,"gradual",-1895505
"19a27b3664cc8f70c4989a11606c3bc3949ee0e",4,72,"p.bst.6.pred.141",64,476173164,"gradual",-4875100
"19a27b3664dc8f70c4b8da11606c3bc3949ee0e",4,75,"m.tree_min_helper.1.pre.71",56,321183531,"gradual",-1829234
"19a27b3664dc8f70c4b8da11606c3bc3949ee0e",4,75,"m.tree_min_helper.1.pre.71",60,432513600,"gradual",-7261574
"fb0ccb0e1358a1cccc63f95c71b186a7f035a5",2,76,"m.main.5.inv.13",60,27534492,"gradual",-1828244
