"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","component_type","example","classification"
"8000000000",0,1.3,"m.create_list.3.fold.pred_inst.39",64,2736060,"gradual",2024305,284.4,"create_list","fold","pred_inst","list","max"
"8000000000",0,1.3,"m.create_list.3.fold.pred_inst.39",128,7627923,"gradual",6915435,970.6,"create_list","fold","pred_inst","list","max"
"8000",1,1.3,"m.list_insert.3.fold.pred_inst.63",64,2803018,"gradual",2091263,293.8,"list_insert","fold","pred_inst","list","max"
"8000",1,1.3,"m.list_insert.3.fold.pred_inst.63",128,7744874,"gradual",7032386,987,"list_insert","fold","pred_inst","list","max"
"2000000000000000",2,1.3,"m.appendLemmaLoopBody.1.pre.pred_inst.17",64,2929826,"gradual",2218071,311.6,"appendLemmaLoopBody","pre","pred_inst","list","max"
"2000000000000000",2,1.3,"m.appendLemmaLoopBody.1.pre.pred_inst.17",128,7882519,"gradual",7170031,1006.3,"appendLemmaLoopBody","pre","pred_inst","list","max"
"2000000",3,1.3,"m.list_insert.5.inv.acc.53",64,2898718,"gradual",2186963,307.3,"list_insert","inv","acc","list","max"
"2000000",3,1.3,"m.list_insert.5.inv.acc.53",128,7945726,"gradual",7233238,1015.2,"list_insert","inv","acc","list","max"
"800000000000000000",4,1.3,"m.appendLemmaAfterLoopBody.1.pre.default.7",64,2838391,"gradual",2126636,298.8,"appendLemmaAfterLoopBody","pre","default","list","max"
"800000000000000000",4,1.3,"m.appendLemmaAfterLoopBody.1.pre.default.7",128,7746374,"gradual",7033886,987.2,"appendLemmaAfterLoopBody","pre","default","list","max"
"1000000000000",5,1.3,"m.appendLemmaLoopBody.2.post.default.30",64,2809975,"gradual",2098220,294.8,"appendLemmaLoopBody","post","default","list","max"
"1000000000000",5,1.3,"m.appendLemmaLoopBody.2.post.default.30",128,7750548,"gradual",7038060,987.8,"appendLemmaLoopBody","post","default","list","max"
"200000000000",6,1.3,"m.appendLemmaLoopBody.2.post.pred_inst.33",64,2818218,"gradual",2106463,296,"appendLemmaLoopBody","post","pred_inst","list","max"
"200000000000",6,1.3,"m.appendLemmaLoopBody.2.post.pred_inst.33",128,7807146,"gradual",7094658,995.8,"appendLemmaLoopBody","post","pred_inst","list","max"
"8000000",7,1.3,"m.list_insert.5.inv.pred_inst.51",64,2813728,"gradual",2101973,295.3,"list_insert","inv","pred_inst","list","max"
"8000000",7,1.3,"m.list_insert.5.inv.pred_inst.51",128,7809061,"gradual",7096573,996,"list_insert","inv","pred_inst","list","max"
"4000000",8,1.3,"m.list_insert.5.inv.default.52",64,2841904,"gradual",2130149,299.3,"list_insert","inv","default","list","max"
"4000000",8,1.3,"m.list_insert.5.inv.default.52",128,7861149,"gradual",7148661,1003.3,"list_insert","inv","default","list","max"
"400000000000000",9,1.3,"m.appendLemmaLoopBody.1.pre.acc.20",64,2759351,"gradual",2047596,287.7,"appendLemmaLoopBody","pre","acc","list","max"
"400000000000000",9,1.3,"m.appendLemmaLoopBody.1.pre.acc.20",128,7700442,"gradual",6987954,980.8,"appendLemmaLoopBody","pre","acc","list","max"
