id,path_id,level_id,component_added
0,0,0,NA
400000000000000000000000000000000000000000000000000000000000000000,0,1,m.create_tree.1.pre.bool.0.0
400000000000000000000000000000000000004000000000000000000000000000,0,2,m.tree_remove_lemma_left.3.fold.pred_inst.96.113
400000000000000000000000002000000000004000000000000000000000000000,0,3,m.tree_min_helper.4.unfold.pred_inst.61.76
400000000000000000000000002000000000004000800000000000000000000000,0,4,m.tree_remove_lemma_max.4.unfold.pred_inst.105.124
400000000000000000000000002000000000004000800000000080000000000000,0,5,p.treeRemove.6.pred.pred_inst.120.156
400000000000000000000000002000000000004000800010000080000000000000,0,6,p.bst.6.pred.bool.117.138
400000000000000000800000002000000000004000800010000080000000000000,0,7,m.tree_max.3.fold.pred_inst.41.50
400000000000000000800000002000000000004004800010000080000000000000,0,8,m.tree_remove_lemma_max.1.pre.pred_inst.103.122
400000400000000000800000002000000000004004800010000080000000000000,0,9,m.tree_add.1.pre.bool.12.16
400000400000000000800000002000010000004004800010000080000000000000,0,10,m.tree_remove_helper.1.pre.pred_inst.76.92
400000400000000000800000002000010000004004800011000080000000000000,0,11,p.bst.6.pred.bool.117.142
400000400000000000800000002800010000004004800011000080000000000000,0,12,m.tree_min_helper.3.fold.pred_inst.63.78
400000400000010000800000002800010000004004800011000080000000000000,0,13,m.tree_main_lemma.1.pre.pred_inst.30.38
400000400000010000800000002800410000004004800011000080000000000000,0,14,m.tree_remove.1.pre.pred_inst.72.88
400000400000010000800000002800410000004004800011001080000000000000,0,15,p.bstRemove.6.pred.acc.118.153
400000400000010000800020002800410000004004800011001080000000000000,0,16,m.tree_max_lemma.2.post.pred_inst.52.64
400000420000010000800020002800410000004004800011001080000000000000,0,17,m.tree_add.4.unfold.pred_inst.14.20
400000420000010000800020002800410000004004810011001080000000000000,0,18,m.tree_remove_lemma_min.4.unfold.pred_inst.109.129
400000420000010000800020002800410000004004810011001880000000000000,0,19,p.bstRemove.6.pred.acc.118.154
400000420000010000820020002800410000004004810011001880000000000000,0,20,m.tree_max_helper.2.post.pred_inst.43.54
400000420000010000820120002800410000004004810011001880000000000000,0,21,m.tree_max_lemma.1.pre.bool.51.62
400000420000014000820120002800410000004004810011001880000000000000,0,22,m.tree_main_lemma.2.post.pred_inst.31.39
400000420200014000820120002800410000004004810011001880000000000000,0,23,m.tree_add_helper.4.unfold.pred_inst.18.26
400000420200014000820120002800410800004004810011001880000000000000,0,24,m.tree_remove_helper.3.fold.pred_inst.80.96
400000420200014000820120002800410800004024810011001880000000000000,0,25,m.tree_remove_lemma_left2.3.fold.pred_inst.102.120
400000420201014000820120002800410800004024810011001880000000000000,0,26,m.tree_contains_helper.1.pre.pred_inst.24.32
400000420201414000820120002800410800004024810011001880000000000000,0,27,m.tree_contains_helper.2.post.pred_inst.25.33
400000420201414000a20120002800410800004024810011001880000000000000,0,28,m.tree_max_helper.1.pre.bool.42.51
400000420201414000a20120002880410800004024810011001880000000000000,0,29,m.tree_min_helper.3.fold.pred_inst.67.82
400000420201414008a20120002880410800004024810011001880000000000000,0,30,m.tree_max.1.pre.pred_inst.38.47
400000421201414008a20120002880410800004024810011001880000000000000,0,31,m.tree_add_helper.1.pre.pred_inst.16.24
400000421201414008a20120002880410800004224810011001880000000000000,0,32,m.tree_remove_lemma_left2.2.post.pred_inst.98.116
400000421201494008a20120002880410800004224810011001880000000000000,0,33,m.tree_contains_helper.3.fold.pred_inst.28.36
400000421209494008a20120002880410800004224810011001880000000000000,0,34,m.tree_contains.4.unfold.pred_inst.22.30
400000421209494009a20120002880410800004224810011001880000000000000,0,35,m.tree_max.4.unfold.pred_inst.40.49
400000421209494009a20120002880410800004225810011001880000000000000,0,36,m.tree_remove_lemma_max.2.post.pred_inst.104.123
400000421209494009a20120002880410800004225811011001880000000000000,0,37,m.tree_remove_lemma_right.1.pre.pred_inst.111.132
400000421209494009a20120002880410800204225811011001880000000000000,0,38,m.tree_remove_lemma_left.1.pre.bool.91.107
400000421209494009a20120002880410800204a25811011001880000000000000,0,39,m.tree_remove_lemma_left2.1.pre.pred_inst.97.115
400000421209494049a20120002880410800204a25811011001880000000000000,0,40,m.tree_main_lemma_bst.3.fold.pred_inst.37.45
401000421209494049a20120002880410800204a25811011001880000000000000,0,41,m.create_tree_helper.3.fold.pred_inst.5.7
401000421209494049a20120002880410800204a25811011401880000000000000,0,42,p.bst.6.pred.acc.117.144
401000421209494049a20120002880410800204a25811011401980000000000001,0,43,p.treeRemove.6.pred.imp.120.-1
401000421209494049a2012000a880410800204a25811011401980000000000001,0,44,m.tree_min_helper.2.post.bool.60.74
401000421209494049a2012000a880410800204a25891011401980000000000001,0,45,m.tree_remove_lemma_min.1.pre.pred_inst.107.127
401100421209494049a2012000a880410800204a25891011401980000000000001,0,46,m.main.1.pre.bool.8.10
401100421209494049a2012000e880410800204a25891011401980000000000001,0,47,m.tree_min_helper.2.post.pred_inst.60.75
401100421209494049a2012020e880410800204a25891011401980000000000001,0,48,m.tree_min.4.unfold.pred_inst.57.70
401100421209494049a2012020e880410800204a25891013401980000000000001,0,49,p.bst.6.pred.bool.117.141
401100421209494049a2012020e880410c00204a25891013401980000000000001,0,50,m.tree_remove_helper.3.fold.pred_inst.81.97
401100421209494049a2012030e880410c00204a25891013401980000000000001,0,51,m.tree_min.3.fold.pred_inst.58.71
401100421209494049a2012030e884410c00204a25891013401980000000000001,0,52,m.tree_min_lemma.2.post.pred_inst.69.85
401100421209494049a2012030e884411c00204a25891013401980000000000001,0,53,m.tree_remove_helper.4.unfold.pred_inst.79.95
401100421209494049a2012030e8a4411c00204a25891013401980000000000001,0,54,m.tree_min_lemma.1.pre.bool.68.83
401900421209494049a2012030e8a4411c00204a25891013401980000000000001,0,55,m.create_tree_helper.3.fold.pred_inst.6.8
401900421209494049a2012030e8a4411c00204a25893013401980000000000001,0,56,m.tree_remove_lemma_right.1.pre.bool.111.131
401900421209494049a2012030e8a4411c00204b25893013401980000000000001,0,57,m.tree_remove_lemma_left2.4.unfold.pred_inst.99.117
401900421209494049a2012130e8a4411c00204b25893013401980000000000001,0,58,m.tree_min.1.pre.pred_inst.55.68
401900421209494049a2012130e8a5411c00204b25893013401980000000000001,0,59,m.tree_min_lemma.3.fold.pred_inst.71.87
401900421209494049a2092130e8a5411c00204b25893013401980000000000001,0,60,m.tree_max_helper.3.fold.pred_inst.49.60
401900421209494049a2092130e8a5411c00204b25893013601980000000000001,0,61,p.bst.6.pred.acc.117.145
401900421209494049a2092130e8a5411c00204b25c93013601980000000000001,0,62,m.tree_remove_lemma_max.3.fold.pred_inst.106.125
401900421209494049b2092130e8a5411c00204b25c93013601980000000000001,0,63,m.tree_max_helper.1.pre.pred_inst.42.52
401900421209494049b2092170e8a5411c00204b25c93013601980000000000001,0,64,m.tree_min.2.post.pred_inst.56.69
401900421209496049b2092170e8a5411c00204b25c93013601980000000000001,0,65,m.tree_main_lemma.4.unfold.pred_inst.32.40
401900421209496049b2092170e8a5411c00204b25c93013601b80000000000001,0,66,p.tree.6.pred.pred_inst.119.155
401900421209496049b2092170e8a5411c00204b25c93013609b80000000000001,0,67,p.bstRemove.6.pred.bool.118.150
401902421209496049b2092170e8a5411c00204b25c93013609b80000000000001,0,68,m.main.5.inv.bool.11.14
401902421209496049b2092170e8a5411c00204b25c93213609b80000000000001,0,69,m.tree_remove_lemma_right.4.unfold.pred_inst.113.134
401902423209496049b2092170e8a5411c00204b25c93213609b80000000000001,0,70,m.tree_add_helper.1.pre.bool.16.23
401902423209496049b2092170e8a5411c00204b25c93213619b80000000000001,0,71,p.bstRemove.6.pred.bool.118.149
401902423209496049b2092170e8a5411c00204b25c93293619b80000000000001,0,72,m.tree_remove_lemma_right.3.fold.pred_inst.115.136
40190242320949604bb2092170e8a5411c00204b25c93293619b80000000000001,0,73,m.tree_max.2.post.pred_inst.39.48
40190242320949604bb2092170e8a5411c00204b25c9b293619b80000000000001,0,74,m.tree_remove_lemma_min.3.fold.pred_inst.110.130
60190242320949604bb2092170e8a5411c00204b25c9b293619b80000000000001,0,75,m.create_tree.1.pre.bool.0.1
60190242321949604bb2092170e8a5411c00204b25c9b293619b80000000000001,0,76,m.tree_contains.2.post.pred_inst.21.29
60190242321949604bb2092170e8a5411e00204b25c9b293619b80000000000001,0,77,m.tree_remove_helper.3.fold.pred_inst.82.98
60190242321949604bb2092170eaa5411e00204b25c9b293619b80000000000001,0,78,m.tree_min_helper.0.assert.bool.65.80
60190242721949604bb2092170eaa5411e00204b25c9b293619b80000000000001,0,79,m.tree_add_helper.1.pre.bool.16.22
60190242721949604bb2092970eaa5411e00204b25c9b293619b80000000000001,0,80,m.tree_max_lemma.3.fold.pred_inst.54.66
60190242721949604bb2092970eaa5411e00204b2dc9b293619b80000000000001,0,81,m.tree_remove_lemma_max.1.pre.bool.103.121
60190342721949604bb2092970eaa5411e00204b2dc9b293619b80000000000001,0,82,m.main.5.inv.bool.11.15
60190342721949604bb2092970eaa5413e00204b2dc9b293619b80000000000001,0,83,m.tree_remove_helper.3.fold.pred_inst.78.94
60190342721949604bb2093970eaa5413e00204b2dc9b293619b80000000000001,0,84,m.tree_max_lemma.4.unfold.pred_inst.53.65
60190362721949604bb2093970eaa5413e00204b2dc9b293619b80000000000001,0,85,m.tree_add.1.pre.bool.12.17
60190362731949604bb2093970eaa5413e00204b2dc9b293619b80000000000001,0,86,m.tree_add_helper.3.fold.pred_inst.19.27
60190362731949604bb2093970eaa5413e00204b2dc9b29b619b80000000000001,0,87,p.bst.6.pred.pred_inst.117.139
60190362731949604bb2093972eaa5413e00204b2dc9b29b619b80000000000001,0,88,m.tree_min_helper.1.pre.pred_inst.59.73
60190362731949604bb2093972eaa7413e00204b2dc9b29b619b80000000000001,0,89,m.tree_min_lemma.4.unfold.pred_inst.70.86
60190362731949604bb2093972eaa7413e00244b2dc9b29b619b80000000000001,0,90,m.tree_remove_lemma_left.2.post.pred_inst.92.109
60190362731949604bb2093972eaa7417e00244b2dc9b29b619b80000000000001,0,91,m.tree_remove_helper.2.post.pred_inst.77.93
60190362731d49604bb2093972eaa7417e00244b2dc9b29b619b80000000000001,0,92,m.tree_contains.3.fold.pred_inst.23.31
60190362731d49604bb2093972eaa7417e0024cb2dc9b29b619b80000000000001,0,93,m.tree_remove_lemma_left.3.fold.pred_inst.95.112
60190362731d49604bb2093976eaa7417e0024cb2dc9b29b619b80000000000001,0,94,m.tree_min_helper.1.pre.bool.59.72
60190362731d4d604bb2093976eaa7417e0024cb2dc9b29b619b80000000000001,0,95,m.tree_contains_helper.3.fold.pred_inst.29.37
60190362731d4d604bb2093976eaa7417e0024cb2dc9b29b619b80020000000001,0,96,m.tree_contains.2.post.imp.21.-1
60190362731d4d604bb2093976eaa7417e0024cb6dc9b29b619b80020000000001,0,97,m.tree_remove_lemma_left2.3.fold.pred_inst.101.119
60190362731d4d604bb2093976eaa7417e0824cb6dc9b29b619b80020000000001,0,98,m.tree_remove_lemma.1.pre.pred_inst.87.103
60190362731d4d604bb2093976eaa7497e0824cb6dc9b29b619b80020000000001,0,99,m.tree_remove.4.unfold.pred_inst.74.90
60190362731d4d604bb2893976eaa7497e0824cb6dc9b29b619b80020000000001,0,100,m.tree_max_helper.3.fold.pred_inst.45.56
60190362731d4d604bb2893976eaa7497e0824cb6dc9b29b619b80020000000003,0,101,p.tree.6.pred.imp.119.-1
60190362731d4d604bb2893976eaa7597e0824cb6dc9b29b619b80020000000003,0,102,m.tree_remove.2.post.pred_inst.73.89
60194362731d4d604bb2893976eaa7597e0824cb6dc9b29b619b80020000000003,0,103,m.main.2.post.bool.9.11
60194362731d4d604bb2893976eaa7597e0824cb6dc9b2db619b80020000000003,0,104,m.tree_remove_lemma_right.3.fold.pred_inst.116.137
60194362731d4d604bb2893b76eaa7597e0824cb6dc9b2db619b80020000000003,0,105,m.tree_min.1.pre.bool.55.67
60194362731d4d604bb2893b76eaa7597e0834cb6dc9b2db619b80020000000003,0,106,m.tree_remove_lemma_left.1.pre.pred_inst.91.108
60194362731d4d604bb2893b76eaa7597e0834cb6dc9b2db61bb80020000000003,0,107,p.bstRemove.6.pred.acc.118.152
60194362731d4d604bb2893b76eaa7597e0834cb6dc9b2db61bb80020000200003,0,108,m.tree_min_lemma.2.post.imp.69.-1
60194362731d4d614bb2893b76eaa7597e0834cb6dc9b2db61bb80020000200003,0,109,m.tree_main_lemma_bst.2.post.pred_inst.35.43
60194362731d4d614bb2893b76eaa7597e0836cb6dc9b2db61bb80020000200003,0,110,m.tree_remove_lemma_left.4.unfold.pred_inst.93.110
60194362731d4d614bb2893b76eaa7597e0836cb6dc9b2db61bb80020004200003,0,111,m.tree_min.2.post.imp.56.-1
60194362731d4d614bb2c93b76eaa7597e0836cb6dc9b2db61bb80020004200003,0,112,m.tree_max_helper.3.fold.pred_inst.46.57
60194362731d4d614bb2c93b76eba7597e0836cb6dc9b2db61bb80020004200003,0,113,m.tree_min_helper.3.fold.pred_inst.66.81
60194372731d4d614bb2c93b76eba7597e0836cb6dc9b2db61bb80020004200003,0,114,m.tree_add.1.pre.pred_inst.12.18
60194372731d4d614bb2c93b76eba7597e0836cbedc9b2db61bb80020004200003,0,115,m.tree_remove_lemma_left2.3.fold.pred_inst.100.118
601d4372731d4d614bb2c93b76eba7597e0836cbedc9b2db61bb80020004200003,0,116,m.create_tree_helper.3.fold.pred_inst.7.9
601d4372731d4d614bb2c93b76eba7597e0836cbedc9b6db61bb80020004200003,0,117,m.tree_remove_lemma_right.2.post.pred_inst.112.133
601d4372731d4d614bb2c93b76eba7597e0836cbedc9b6db61bb80020204200003,0,118,m.tree_max.2.post.imp.39.-1
601d4b72731d4d614bb2c93b76eba7597e0836cbedc9b6db61bb80020204200003,0,119,m.main.5.inv.bool.10.13
601d4b72731d4d614bb2c93b76eba7597e0836cbedc9b6db61bb84020204200003,0,120,m.main.1.pre.imp.8.-1
601d4b72731d4d614bb2c93b76eba7597e0836cbedc9b6db69bb84020204200003,0,121,p.bstRemove.6.pred.bool.118.146
681d4b72731d4d614bb2c93b76eba7597e0836cbedc9b6db69bb84020204200003,0,122,m.create_tree.2.post.pred_inst.1.2
681d4b72731d4d614bb2c93b76eba7597e0836cbedc9b6df69bb84020204200003,0,123,p.bst.6.pred.pred_inst.117.140
